TimeStamp,Base1mean,Base1min
timestamp,m,m
08/11/2019 00:05,44,37
08/11/2019 00:10,63,37
08/11/2019 00:15,49,37
08/11/2019 00:20,51,46
08/11/2019 00:25,49,37
08/11/2019 00:30,37,37
08/11/2019 00:35,,
08/11/2019 00:40,,
08/11/2019 00:45,,
08/11/2019 00:50,113,110
08/11/2019 00:55,,
08/11/2019 01:00,,
08/11/2019 01:05,,
08/11/2019 01:10,,
08/11/2019 01:15,98,91
08/11/2019 01:20,,
08/11/2019 01:25,,
08/11/2019 01:30,,
08/11/2019 01:35,,
08/11/2019 01:40,,
08/11/2019 01:45,,
08/11/2019 01:50,,
08/11/2019 01:55,,
08/11/2019 02:00,,
08/11/2019 02:05,,
08/11/2019 02:10,55,55
08/11/2019 02:15,,
08/11/2019 02:20,,
08/11/2019 02:25,,
08/11/2019 02:30,,
08/11/2019 02:35,,
08/11/2019 02:40,87,82
08/11/2019 02:45,,
08/11/2019 02:50,,
08/11/2019 02:55,,
08/11/2019 03:00,,
08/11/2019 03:05,,
08/11/2019 03:10,,
08/11/2019 03:15,,
08/11/2019 03:20,,
08/11/2019 03:25,,
08/11/2019 03:30,,
08/11/2019 03:35,,
08/11/2019 03:40,,
08/11/2019 03:45,,
08/11/2019 03:50,,
08/11/2019 03:55,,
08/11/2019 04:00,,
08/11/2019 04:05,,
08/11/2019 04:10,,
08/11/2019 04:15,,
08/11/2019 04:20,,
08/11/2019 04:25,,
08/11/2019 04:30,,
08/11/2019 04:35,6392,6392
08/11/2019 04:40,5818,5422
08/11/2019 04:45,5693,5642
08/11/2019 04:50,,
08/11/2019 04:55,,
08/11/2019 05:00,,
08/11/2019 05:05,,
08/11/2019 05:10,6262,6099
08/11/2019 05:15,6149,6053
08/11/2019 05:20,6144,6108
08/11/2019 05:25,6108,6108
08/11/2019 05:30,6902,6748
08/11/2019 05:35,6810,6593
08/11/2019 05:40,6586,5898
08/11/2019 05:45,6385,5678
08/11/2019 05:50,6185,5660
08/11/2019 05:55,,
08/11/2019 06:00,,
08/11/2019 06:05,5560,5377
08/11/2019 06:10,5168,5111
08/11/2019 06:15,,
08/11/2019 06:20,,
08/11/2019 06:25,,
08/11/2019 06:30,,
08/11/2019 06:35,,
08/11/2019 06:40,,
08/11/2019 06:45,,
08/11/2019 06:50,,
08/11/2019 06:55,,
08/11/2019 07:00,144,137
08/11/2019 07:05,140,119
08/11/2019 07:10,110,101
08/11/2019 07:15,108,101
08/11/2019 07:20,81,64
08/11/2019 07:25,58,46
08/11/2019 07:30,55,46
08/11/2019 07:35,61,55
08/11/2019 07:40,84,55
08/11/2019 07:45,185,64
08/11/2019 07:50,201,82
08/11/2019 07:55,165,82
08/11/2019 08:00,185,119
08/11/2019 08:05,159,137
08/11/2019 08:10,152,119
08/11/2019 08:15,152,128
08/11/2019 08:20,161,146
08/11/2019 08:25,179,174
08/11/2019 08:30,178,174
08/11/2019 08:35,178,174
08/11/2019 08:40,174,174
08/11/2019 08:45,159,146
08/11/2019 08:50,164,155
08/11/2019 08:55,166,165
08/11/2019 09:00,164,155
08/11/2019 09:05,156,155
08/11/2019 09:10,149,146
08/11/2019 09:15,146,146
08/11/2019 09:20,143,128
08/11/2019 09:25,142,137
08/11/2019 09:30,144,137
08/11/2019 09:35,143,128
08/11/2019 09:40,144,137
08/11/2019 09:45,145,137
08/11/2019 09:50,226,137
08/11/2019 09:55,550,302
08/11/2019 10:00,300,128
08/11/2019 10:05,223,137
08/11/2019 10:10,722,137
08/11/2019 10:15,844,622
08/11/2019 10:20,508,439
08/11/2019 10:25,420,393
08/11/2019 10:30,589,393
08/11/2019 10:35,550,393
08/11/2019 10:40,451,366
08/11/2019 10:45,548,366
08/11/2019 10:50,507,357
08/11/2019 10:55,420,329
08/11/2019 11:00,412,302
08/11/2019 11:05,437,302
08/11/2019 11:10,419,329
08/11/2019 11:15,469,347
