TimeStamp,T0.56,Td,Tgrass,Tw,RH,U0.56,U1.12,U2.24,U4.48,U5,U6.4,Sb,Ldw(uc),Luw(uc),Rn,Sdw,Suw
timestamp,degC,degC,degC,degC,%,m/s,m/s,m/s,m/s,m/s,m/s,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2
01/10/2019 00:05,15.88,15.84,14.89,15.08,91.4,1.4,1.2,1.7,1.9,1.9,1.9,-0.7,-11.1,43,-30.4,-2.8,-1.4
01/10/2019 00:10,15.77,15.84,14.88,15.07,91.4,1.1,1,1.4,1.6,1.7,1.8,-0.7,-13.3,42.5,-31.2,-2.8,-1.4
01/10/2019 00:15,15.77,15.83,14.83,15.08,91.5,1.1,1,1.4,1.6,1.6,1.7,-0.5,-14.2,42.5,-29.6,-3.1,-1.4
01/10/2019 00:20,15.72,15.81,14.87,15.09,91.8,1.2,1,1.5,1.7,1.7,1.8,-0.7,-13.1,42.3,-23.7,-3.1,-1.6
01/10/2019 00:25,15.66,15.78,14.86,15.08,92.1,1.2,1,1.4,1.7,1.9,1.9,-0.7,-12.9,42.7,-22.9,-3.1,-1.6
01/10/2019 00:30,15.71,15.77,14.97,15.09,92.3,1.2,1.1,1.5,1.8,1.9,2,-1.1,-9.8,42.5,-19.3,-2.8,-1.6
01/10/2019 00:35,15.76,15.75,15.04,15.08,92.4,1.6,1.3,1.8,2.1,2.1,2.2,-1.3,-7.9,43.7,-21.8,-2.6,-1.6
01/10/2019 00:40,15.73,15.71,14.94,15.06,92.4,1.4,1.2,1.6,1.8,2,1.9,-0.9,-12.5,44.1,-26.5,-2.8,-1.6
01/10/2019 00:45,15.6,15.62,14.65,14.98,92.3,1.3,1.1,1.6,1.8,1.8,1.9,-0.3,-24.5,43,-41,-3.7,-1.6
01/10/2019 00:50,15.54,15.54,14.46,14.88,92,1.4,1.2,1.6,1.9,1.9,2,0.3,-26.5,41.6,-43.8,-3.9,-1.6
01/10/2019 00:55,15.51,15.49,14.41,14.81,91.8,1.7,1.4,2,2.2,2.3,2.3,0.3,-26,40.2,-42.3,-3.9,-1.4
01/10/2019 01:00,15.47,15.47,14.39,14.76,91.6,1.9,1.5,2.1,2.3,2.3,2.4,0.1,-26.2,40,-48.8,-3.7,-1.2
