TimeStamp,Q_E,Q_H
timestamp,W.m-2,W.m-2
20/12/2017 00:30,-10.779,-16.052
20/12/2017 01:00,-3.718,-3.5596
20/12/2017 01:30,-1.717,-2.6179
20/12/2017 02:00,4.793,-9.0595
20/12/2017 02:30,-1.724,-5.5533
20/12/2017 03:00,0.612,-1.4934
20/12/2017 03:30,-8.451,-4.9138
20/12/2017 04:00,20.416,-5.4424
20/12/2017 04:30,,-2.7683
20/12/2017 05:00,,2.2407
20/12/2017 05:30,,-4.0643
20/12/2017 06:00,,-5.201
20/12/2017 06:30,2.395,-0.4965
20/12/2017 07:00,20.523,-5.9556
20/12/2017 07:30,8.077,1.5931
20/12/2017 08:00,4.776,-0.0917
20/12/2017 08:30,-6.388,-3.502
20/12/2017 09:00,23.575,-4.341
20/12/2017 09:30,-29.765,2.9922
20/12/2017 10:00,,0.7612
20/12/2017 10:30,1.803,0.9056
20/12/2017 11:00,9.391,-1.3412
20/12/2017 11:30,-2.868,-9.4309
20/12/2017 12:00,6.114,0.6275
20/12/2017 12:30,-4.215,-8.0001
20/12/2017 13:00,13.543,10.0824
20/12/2017 13:30,11.001,-1.0489
20/12/2017 14:00,8.37,-2.3548
20/12/2017 14:30,1.981,-1.7955
20/12/2017 15:00,1.742,-0.9258
20/12/2017 15:30,0.776,-3.4558
20/12/2017 16:00,-0.414,-4.2412
20/12/2017 16:30,-4.493,-14.5043
20/12/2017 17:00,,-4.3765
20/12/2017 17:30,-9.298,-8.3741
20/12/2017 18:00,,-16.471
20/12/2017 18:30,,-12.2384
20/12/2017 19:00,5.833,-3.2947
20/12/2017 19:30,-3.816,-2.5452
20/12/2017 20:00,-1.046,-4.2305
20/12/2017 20:30,-0.108,-5.556
20/12/2017 21:00,-1.137,-4.3705
20/12/2017 21:30,0.295,-4.82
20/12/2017 22:00,-8.138,0.8945
20/12/2017 22:30,2.367,-3.6677
20/12/2017 23:00,-1.094,-5.4752
20/12/2017 23:30,-1.716,-7.704
21/12/2017 00:00,0.129,-7.2029
